Organization,Phone Number,Address 
City Team - Heritage Home,408-294-1238,"435 N 3rd St
San Jose, CA 95112"
City Team - House of Grace ,408-885-8080,"435 Wooster Ave 
San Jose, CA 95116"
Family Supportive Housing,408-926-8885,"692 N King Rd 
San Jose, CA 95113"
LifeMoves - Georgia Travis House,408-271-1630,"260 Commercial St
San Jose, CA 95112"
LifeMoves - Villa,408-271-0685,"184 S 11th St
San Jose, CA 95123"
Amigos de Guadalupe Safe Park Program,408-341-6080,"1897 Alum Rock Ave #35
San Jose, CA 95116"
City Team - Mens Shelter,408-288-2153,"1174 Old Bayshore Hwy
San Jose, CA 95112"
HomeFirst - Boccardo Reception Center,408-294-2100,"2011 Little Orchard St 
San Jose, CA 95125"
LifeMoves - Montgomery Street,408-271-5160,"358 N Montgomert St
San Jose, CA 95110"
LifeMoves - Julian Street,408-271-1630,"546 West Julian St
San Jose, CA 95110"
LifeMoves - Georgia Travis House,408-271-1630,"260 Commercial St
San Jose, CA 95112"
LifeMoves - Villa,408-271-0685,"184 S 11th St
San Jose, CA 95123"
LifeMoves - Mountain View,,"2566 Leghorn St
San Jose, CA 94043"
Salvation Army - Emmanuel House,408-282-1175,"405 N 4th St
San Jose, CA 95112"
Homelessness Prevention System,408-926-8885,
Sacred Heart,"House & Financial Assistance: 408-709-2364
Financial Strength: 408-278-2172
JobLink Employment: 408-278-2172","1381 S First St
San Jose, CA 95110"
Salvation Army,408-282-1165,"359 N 4th St, Room 202
San Jose, CA 95112"
City of San Jose/Rental Rights & Referrals,408-975-4480,"200 E Santa Clara St, 12th Floor
408-975-4480"
The Health Trust/AIDS Service,408-961-9560,
San Jose Unified School District (Healthy Start Families),408-535-4760,"855 Lenzen Ave
San Jose, CA 95126"
Santa Clara General Assistance,408-758-3800,"1919 Senter Rd
San Jose, CA 95112"
Crime Victims Assistance Program,408-758-3800,"1920 Senter Rd
San Jose, CA 95112"
San Jose Unified School District Family Resource Center,408-423-3550,"855 Lenzen Ave
San Jose, CA 95126"
Santa Clara County Public Health,408-792-5040,"976 Lenzen Ave
San Jose, CA 95126"
Silicon Valley Independent Living Center,408-894-9041,"25 N 14th St Suite 1000
San Jose, CA 95112"
Opening Doors,408-401-1090,"598 N 1st St Suite A
San Jose, CA 95112"
Asian American Community Involvement (AACI) Asian Women's Home,408-975-2739,"2400 Moorpark Ave Suite 300
San Jose, CA 95128"
Community Solutions,"San Jose: 408-225-9163
Gilroy: 408-842-7138
Morgan Hill: 408-779-2113","San Jose: 1356 Ridder Park Dr
San Jose, CA 95131
Gilroy: 8015 Murray Ave #100
Gilroy, CA 95020
Morgan Hill: 16264 Church St #103
Morgan Hill, CA 95037"
Family Violence Center,408-277-3700,"1671 The Alameda Suite 100
San Jose, CA 95126"
NextDoor Solutions to Domestic Violence,408-501-7550,"234 E Gish Rd #200
San Jose, CA 95112"
YWCA of Silicon Valley,408-295-4011,"375 S Third St
San Jose, CA 95112"
Maitri,408-436-8393,
